,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,276.96,81,20,2.57,AR,1650173169
1,rikitea,-23.1203,-134.9692,299.09,67,17,6.57,PF,1650173229
2,new norfolk,-42.7826,147.0587,299.22,34,100,2.24,AU,1650173230
3,fortuna,40.5982,-124.1573,279.07,88,0,2.06,US,1650173230
4,port elizabeth,-33.918,25.5701,289.44,95,20,4.12,ZA,1650173231
5,sosnovo-ozerskoye,52.5249,111.5418,282.22,44,96,6.27,RU,1650173232
6,mataura,-46.1927,168.8643,285.08,63,96,0.5,NZ,1650173233
7,punta arenas,-53.15,-70.9167,281.21,87,100,6.17,CL,1650173195
8,hilo,19.7297,-155.09,294.97,96,100,2.57,US,1650173235
9,bluff,-46.6,168.3333,285.26,63,84,2.68,NZ,1650173236
10,abu samrah,35.3029,37.1841,291.74,30,15,2.5,SY,1650173236
11,honningsvag,70.9821,25.9704,277.01,81,100,12.86,NO,1650173237
12,vaini,-21.2,-175.2,300.24,83,20,2.57,TO,1650173238
13,ngunguru,-35.6167,174.5,291.85,82,100,10.42,NZ,1650173239
14,peniche,39.3558,-9.3811,286.64,86,100,6.72,PT,1650173240
15,jamestown,42.097,-79.2353,274.92,68,100,3.6,US,1650173212
16,hermanus,-34.4187,19.2345,286.37,86,15,4.95,ZA,1650173226
17,laguna,38.421,-121.4238,287.29,66,0,4.63,US,1650173242
18,babu,24.4167,111.5167,286.23,95,100,2.06,CN,1650173243
19,castro,-24.7911,-50.0119,282.28,99,14,2.32,BR,1650173243
20,porto novo,6.4965,2.6036,300.05,84,87,1.84,BJ,1650173244
21,puerto ayora,-0.7393,-90.3518,297.06,92,69,2.27,EC,1650173245
22,sao joao da barra,-21.6403,-41.0511,292.78,84,27,4.52,BR,1650173127
23,cape town,-33.9258,18.4232,287.65,75,0,2.57,ZA,1650173166
24,bayeux,-7.125,-34.9322,298.5,94,75,1.03,BR,1650173246
25,busselton,-33.65,115.3333,292.63,43,31,5.21,AU,1650173247
26,jinchang,38.4953,102.1739,284.45,21,1,13.74,CN,1650173248
27,mehamn,71.0357,27.8492,276.07,92,100,11.26,NO,1650173222
28,westport,41.1415,-73.3579,280.42,93,100,2.57,US,1650173249
29,butaritari,3.0707,172.7902,301.09,75,65,4.65,KI,1650173250
30,hithadhoo,-0.6,73.0833,301.84,62,96,2.67,MV,1650173250
31,chulumani,-16.4096,-67.5263,289.68,96,95,0.79,BO,1650173251
32,albany,42.6001,-73.9662,276.38,91,69,3.18,US,1650173252
33,kijang,35.2442,129.2139,294.0,28,0,3.94,KR,1650173253
34,longyearbyen,78.2186,15.6401,266.06,73,75,2.06,SJ,1650173253
35,tuktoyaktuk,69.4541,-133.0374,254.15,71,40,3.09,CA,1650173254
36,hobart,-42.8794,147.3294,299.41,40,75,8.75,AU,1650173255
37,lebu,-37.6167,-73.65,284.52,92,38,3.45,CL,1650173255
38,yellowknife,62.456,-114.3525,258.44,61,20,1.54,CA,1650173256
39,katsuura,35.1333,140.3,288.22,61,100,4.24,JP,1650173257
40,ardesen,41.1911,40.9875,287.63,62,4,0.88,TR,1650173258
41,avarua,-21.2078,-159.775,298.18,94,100,0.51,CK,1650173259
42,tongliao,43.6125,122.2653,289.26,23,38,4.59,CN,1650173115
43,dossor,47.5272,52.9811,288.15,54,38,1.9,KZ,1650173260
44,aklavik,68.2191,-135.0107,257.82,89,23,5.18,CA,1650173261
45,port lincoln,-34.7333,135.8667,292.43,69,100,4.87,AU,1650173261
46,saint-philippe,-21.3585,55.7679,300.49,81,25,4.92,RE,1650173263
47,menongue,-14.6585,17.691,289.05,98,97,1.41,AO,1650173263
48,ishigaki,24.3448,124.1572,296.22,68,75,5.66,JP,1650173264
49,khatanga,71.9667,102.5,269.35,93,95,4.92,RU,1650173265
50,realeza,-25.7689,-53.5325,283.53,88,0,1.14,BR,1650173266
51,lagoa,39.05,-27.9833,287.43,74,0,6.23,PT,1650173266
52,saint-francois,46.4154,3.9054,279.64,80,0,0.51,FR,1650173267
53,georgetown,5.4112,100.3354,306.12,62,20,3.6,MY,1650173268
54,tchibanga,-2.85,11.0333,295.41,98,95,0.96,GA,1650173268
55,nikolskoye,59.7035,30.7861,277.52,68,49,1.2,RU,1650173269
56,komsomolskiy,40.4272,71.7189,296.55,31,92,2.06,UZ,1650173270
57,prince rupert,54.3161,-130.3201,278.98,75,0,1.54,CA,1650173271
58,port alfred,-33.5906,26.891,287.69,95,81,4.46,ZA,1650173271
59,ereymentau,51.6199,73.1033,289.55,47,88,4.92,KZ,1650173272
